TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
16:05:28,230719,50.696086782,-123.354436808,1823.310000000,20,0.147000000,0.136000000,0.305000000
16:05:29,230719,50.696086792,-123.354436797,1823.310000000,20,0.147000000,0.136000000,0.305000000
16:05:30,230719,50.696086792,-123.354436805,1823.306000000,20,0.147000000,0.136000000,0.306000000
16:05:31,230719,50.696086765,-123.354436807,1823.307000000,20,0.147000000,0.136000000,0.306000000
16:05:32,230719,50.696086747,-123.354436808,1823.306000000,20,0.147000000,0.136000000,0.306000000
16:05:33,230719,50.696086755,-123.354436823,1823.308000000,20,0.149000000,0.138000000,0.310000000
16:05:34,230719,50.696086763,-123.354436827,1823.307000000,20,0.149000000,0.138000000,0.310000000
16:05:35,230719,50.696086747,-123.354436837,1823.307000000,20,0.149000000,0.138000000,0.310000000
16:05:36,230719,50.696086760,-123.354436842,1823.302000000,20,0.151000000,0.140000000,0.314000000
16:05:37,230719,50.696086768,-123.354436888,1823.302000000,20,0.151000000,0.140000000,0.314000000
16:05:38,230719,50.696086790,-123.354436960,1823.300000000,20,0.151000000,0.140000000,0.314000000
16:05:39,230719,50.696086780,-123.354436990,1823.301000000,20,0.151000000,0.139000000,0.313000000
16:05:40,230719,50.696086760,-123.354437003,1823.299000000,20,0.151000000,0.139000000,0.313000000
16:05:41,230719,50.696086772,-123.354436985,1823.298000000,20,0.151000000,0.139000000,0.313000000
16:05:42,230719,50.696086770,-123.354437017,1823.299000000,20,0.150000000,0.138000000,0.311000000
16:05:43,230719,50.696086758,-123.354437007,1823.300000000,20,0.150000000,0.138000000,0.311000000
16:05:44,230719,50.696086748,-123.354436995,1823.300000000,20,0.150000000,0.138000000,0.311000000
16:05:45,230719,50.696086735,-123.354437013,1823.302000000,20,0.150000000,0.138000000,0.311000000
16:05:46,230719,50.696086727,-123.354437020,1823.298000000,20,0.150000000,0.138000000,0.311000000
16:05:47,230719,50.696086720,-123.354437032,1823.294000000,20,0.150000000,0.138000000,0.311000000
16:05:48,230719,50.696086720,-123.354437042,1823.293000000,20,0.151000000,0.140000000,0.314000000
16:05:49,230719,50.696086725,-123.354437125,1823.284000000,20,0.151000000,0.140000000,0.314000000
16:05:50,230719,50.696086738,-123.354437232,1823.268000000,20,0.151000000,0.140000000,0.314000000
16:05:51,230719,50.696086747,-123.354437302,1823.259000000,20,0.144000000,0.133000000,0.298000000
16:05:52,230719,50.696086773,-123.354437353,1823.254000000,20,0.144000000,0.133000000,0.298000000
16:05:53,230719,50.696086790,-123.354437415,1823.250000000,20,0.144000000,0.133000000,0.298000000
16:05:54,230719,50.696086813,-123.354437455,1823.243000000,20,0.144000000,0.133000000,0.298000000
16:05:55,230719,50.696086832,-123.354437500,1823.237000000,20,0.144000000,0.133000000,0.298000000
16:05:56,230719,50.696086835,-123.354437540,1823.233000000,20,0.144000000,0.133000000,0.298000000
16:05:57,230719,50.696086848,-123.354437560,1823.233000000,20,0.144000000,0.133000000,0.298000000
16:05:58,230719,50.696086850,-123.354437563,1823.231000000,20,0.144000000,0.133000000,0.298000000
16:05:59,230719,50.696086858,-123.354437563,1823.228000000,20,0.144000000,0.133000000,0.298000000
16:06:00,230719,50.696086857,-123.354437577,1823.226000000,20,0.144000000,0.133000000,0.298000000
16:06:01,230719,50.696086878,-123.354437587,1823.224000000,20,0.144000000,0.133000000,0.298000000
16:06:02,230719,50.696086892,-123.354437627,1823.222000000,20,0.144000000,0.133000000,0.298000000
16:06:03,230719,50.696086888,-123.354437668,1823.218000000,20,0.144000000,0.133000000,0.298000000
16:06:04,230719,50.696086883,-123.354437708,1823.211000000,20,0.144000000,0.133000000,0.298000000
16:06:05,230719,50.696086898,-123.354437753,1823.204000000,20,0.144000000,0.133000000,0.298000000
16:06:06,230719,50.696086915,-123.354437735,1823.205000000,20,0.144000000,0.133000000,0.298000000
16:06:07,230719,50.696086893,-123.354437783,1823.201000000,20,0.144000000,0.133000000,0.298000000
16:06:08,230719,50.696086872,-123.354437802,1823.195000000,20,0.144000000,0.133000000,0.298000000
16:06:09,230719,50.696086867,-123.354437822,1823.197000000,20,0.144000000,0.133000000,0.298000000
16:06:10,230719,50.696086858,-123.354437825,1823.196000000,20,0.144000000,0.133000000,0.298000000
16:06:11,230719,50.696086858,-123.354437835,1823.196000000,20,0.144000000,0.133000000,0.298000000
16:06:12,230719,50.696086870,-123.354437847,1823.198000000,20,0.144000000,0.133000000,0.298000000
16:06:13,230719,50.696086872,-123.354437832,1823.203000000,20,0.144000000,0.133000000,0.298000000
16:06:14,230719,50.696086877,-123.354437833,1823.204000000,20,0.144000000,0.133000000,0.298000000
16:06:15,230719,50.696086862,-123.354437845,1823.208000000,20,0.144000000,0.133000000,0.298000000
16:06:16,230719,50.696086842,-123.354437860,1823.210000000,20,0.144000000,0.133000000,0.298000000
16:06:17,230719,50.696086838,-123.354437872,1823.208000000,20,0.144000000,0.133000000,0.298000000
16:06:18,230719,50.696086828,-123.354437880,1823.204000000,20,0.144000000,0.133000000,0.298000000
16:06:19,230719,50.696086820,-123.354437882,1823.196000000,20,0.144000000,0.133000000,0.298000000
16:06:20,230719,50.696086800,-123.354437890,1823.195000000,20,0.144000000,0.133000000,0.298000000
16:06:21,230719,50.696086812,-123.354437897,1823.197000000,20,0.144000000,0.133000000,0.298000000
16:06:22,230719,50.696086820,-123.354437902,1823.197000000,20,0.144000000,0.133000000,0.298000000
16:06:23,230719,50.696086818,-123.354437890,1823.195000000,20,0.144000000,0.133000000,0.298000000
16:06:24,230719,50.696086828,-123.354437892,1823.195000000,20,0.144000000,0.133000000,0.298000000
16:06:25,230719,50.696086845,-123.354437893,1823.199000000,20,0.144000000,0.133000000,0.298000000
16:06:26,230719,50.696086858,-123.354437900,1823.199000000,20,0.144000000,0.133000000,0.298000000
16:06:27,230719,50.696086888,-123.354437917,1823.201000000,20,0.144000000,0.133000000,0.298000000
16:06:28,230719,50.696086905,-123.354437917,1823.199000000,20,0.144000000,0.133000000,0.298000000
16:06:29,230719,50.696086917,-123.354437927,1823.198000000,20,0.144000000,0.133000000,0.298000000
16:06:30,230719,50.696086928,-123.354437950,1823.194000000,20,0.144000000,0.133000000,0.298000000
16:06:31,230719,50.696086947,-123.354437963,1823.192000000,20,0.144000000,0.133000000,0.298000000
16:06:32,230719,50.696086963,-123.354437965,1823.191000000,20,0.144000000,0.133000000,0.298000000
