TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
19:13:09,120719,50.514269638,-123.436378573,1718.282000000,10,0.206000000,0.190000000,0.390000000
19:13:10,120719,50.514269667,-123.436378418,1718.287000000,10,0.206000000,0.190000000,0.390000000
19:13:11,120719,50.514269615,-123.436378295,1718.299000000,10,0.206000000,0.190000000,0.390000000
19:13:12,120719,50.514269653,-123.436378192,1718.300000000,10,0.206000000,0.190000000,0.390000000
19:13:13,120719,50.514269613,-123.436378145,1718.301000000,10,0.206000000,0.190000000,0.390000000
19:13:14,120719,50.514269578,-123.436378028,1718.294000000,10,0.206000000,0.190000000,0.390000000
19:13:15,120719,50.514269433,-123.436377853,1718.283000000,10,0.206000000,0.190000000,0.390000000
19:13:16,120719,50.514269148,-123.436377358,1718.293000000,10,0.206000000,0.190000000,0.390000000
19:13:17,120719,50.514268950,-123.436377040,1718.279000000,10,0.206000000,0.190000000,0.390000000
19:13:18,120719,50.514268843,-123.436377027,1718.268000000,10,0.206000000,0.190000000,0.390000000
19:13:19,120719,50.514268765,-123.436377042,1718.246000000,10,0.206000000,0.190000000,0.390000000
19:13:20,120719,50.514268727,-123.436377022,1718.228000000,10,0.206000000,0.190000000,0.390000000
19:13:21,120719,50.514268738,-123.436377007,1718.199000000,10,0.206000000,0.190000000,0.391000000
19:13:22,120719,50.514268683,-123.436377015,1718.178000000,10,0.206000000,0.190000000,0.391000000
19:13:23,120719,50.514268550,-123.436376958,1718.167000000,11,0.180000000,0.175000000,0.333000000
19:13:24,120719,50.514268447,-123.436376903,1718.168000000,11,0.180000000,0.175000000,0.333000000
19:13:25,120719,50.514268352,-123.436376813,1718.162000000,11,0.180000000,0.175000000,0.333000000
19:13:26,120719,50.514268315,-123.436376767,1718.153000000,11,0.180000000,0.175000000,0.333000000
19:13:27,120719,50.514268262,-123.436376643,1718.144000000,11,0.180000000,0.175000000,0.333000000
19:13:28,120719,50.514268272,-123.436376583,1718.126000000,11,0.180000000,0.175000000,0.333000000
19:13:29,120719,50.514268290,-123.436376615,1718.112000000,11,0.187000000,0.182000000,0.345000000
19:13:30,120719,50.514268292,-123.436376523,1718.101000000,11,0.187000000,0.182000000,0.345000000
19:13:31,120719,50.514268335,-123.436376508,1718.101000000,11,0.187000000,0.182000000,0.345000000
19:13:32,120719,50.514268298,-123.436376397,1718.100000000,11,0.194000000,0.189000000,0.358000000
19:13:33,120719,50.514268253,-123.436376190,1718.111000000,11,0.194000000,0.189000000,0.358000000
19:13:34,120719,50.514268260,-123.436376208,1718.114000000,11,0.194000000,0.189000000,0.358000000
19:13:35,120719,50.514268258,-123.436376092,1718.104000000,11,0.197000000,0.192000000,0.364000000
19:13:36,120719,50.514268245,-123.436376272,1718.083000000,11,0.197000000,0.192000000,0.364000000
19:13:37,120719,50.514268265,-123.436376337,1718.068000000,11,0.197000000,0.192000000,0.364000000
19:13:38,120719,50.514268227,-123.436376405,1718.066000000,11,0.180000000,0.175000000,0.333000000
19:13:39,120719,50.514268220,-123.436376550,1718.053000000,10,0.206000000,0.190000000,0.392000000
19:13:40,120719,50.514268237,-123.436376727,1718.044000000,10,0.206000000,0.190000000,0.392000000
19:13:41,120719,50.514268210,-123.436376803,1718.039000000,10,0.206000000,0.190000000,0.392000000
19:13:42,120719,50.514268212,-123.436376937,1718.034000000,10,0.206000000,0.191000000,0.392000000
19:13:43,120719,50.514268253,-123.436377033,1718.031000000,10,0.206000000,0.191000000,0.392000000
19:13:44,120719,50.514268273,-123.436377140,1718.027000000,10,0.206000000,0.191000000,0.392000000
19:13:45,120719,50.514268277,-123.436377255,1718.025000000,10,0.206000000,0.191000000,0.392000000
19:13:46,120719,50.514268290,-123.436377305,1718.014000000,10,0.206000000,0.191000000,0.392000000
19:13:47,120719,50.514268227,-123.436377198,1718.027000000,10,0.206000000,0.191000000,0.392000000
19:13:48,120719,50.514268028,-123.436376912,1718.054000000,8,0.223000000,0.231000000,0.396000000
19:13:49,120719,50.514267953,-123.436376430,1718.076000000,7,0.424000000,1.047000000,0.871000000
19:13:50,120719,50.514267800,-123.436375843,1718.109000000,7,0.424000000,1.047000000,0.871000000
19:13:51,120719,50.514267592,-123.436374963,1718.169000000,9,0.424000000,1.047000000,0.871000000
19:13:52,120719,50.514267552,-123.436374693,1718.187000000,9,0.339000000,0.464000000,0.677000000
19:13:53,120719,50.514266852,-123.436372375,1718.314000000,9,0.680000000,0.929000000,1.603000000
19:13:54,120719,50.514266873,-123.436372370,1718.317000000,9,0.680000000,0.929000000,1.603000000
19:13:55,120719,50.514266735,-123.436372070,1718.355000000,9,0.680000000,0.929000000,1.603000000
19:13:56,120719,50.514266673,-123.436371978,1718.373000000,9,0.765000000,1.047000000,1.806000000
19:13:57,120719,50.514266730,-123.436372122,1718.378000000,9,0.765000000,1.047000000,1.806000000
19:13:58,120719,50.514266803,-123.436372193,1718.382000000,9,0.765000000,1.047000000,1.806000000
19:13:59,120719,50.514266905,-123.436372165,1718.395000000,9,0.743000000,1.016000000,1.754000000
19:14:00,120719,50.514266943,-123.436371990,1718.411000000,10,0.731000000,0.872000000,1.464000000
19:14:01,120719,50.514266982,-123.436371715,1718.434000000,10,0.731000000,0.872000000,1.464000000
19:14:02,120719,50.514266958,-123.436371465,1718.454000000,10,0.731000000,0.872000000,1.464000000
19:14:03,120719,50.514266942,-123.436371183,1718.478000000,10,0.671000000,0.800000000,1.342000000
19:14:04,120719,50.514266977,-123.436371017,1718.491000000,10,0.671000000,0.800000000,1.342000000
19:14:05,120719,50.514266977,-123.436370910,1718.507000000,10,0.671000000,0.800000000,1.342000000
19:14:06,120719,50.514267003,-123.436370860,1718.513000000,11,0.362000000,0.465000000,0.754000000
19:14:07,120719,50.514267073,-123.436370837,1718.517000000,11,0.362000000,0.465000000,0.754000000
19:14:08,120719,50.514267165,-123.436370825,1718.527000000,11,0.362000000,0.465000000,0.754000000
19:14:09,120719,50.514267273,-123.436370817,1718.545000000,12,0.309000000,0.402000000,0.639000000
19:14:10,120719,50.514267362,-123.436370958,1718.558000000,12,0.309000000,0.402000000,0.639000000
19:14:11,120719,50.514267452,-123.436371070,1718.572000000,12,0.309000000,0.402000000,0.639000000
19:14:12,120719,50.514267527,-123.436371180,1718.581000000,12,0.801000000,1.043000000,1.657000000
