TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
20:37:09,130719,50.568275325,-123.527127877,921.198000000,12,0.211000000,0.148000000,0.512000000
20:37:10,130719,50.568275348,-123.527127883,921.200000000,12,0.211000000,0.148000000,0.512000000
20:37:11,130719,50.568275387,-123.527127855,921.198000000,12,0.211000000,0.148000000,0.512000000
20:37:12,130719,50.568275402,-123.527127825,921.197000000,12,0.211000000,0.148000000,0.512000000
20:37:13,130719,50.568275423,-123.527127793,921.213000000,12,0.211000000,0.148000000,0.512000000
20:37:14,130719,50.568275417,-123.527127792,921.215000000,12,0.211000000,0.148000000,0.512000000
20:37:15,130719,50.568275427,-123.527127858,921.219000000,12,0.211000000,0.148000000,0.512000000
20:37:16,130719,50.568275475,-123.527127878,921.213000000,12,0.211000000,0.148000000,0.512000000
20:37:17,130719,50.568275515,-123.527127858,921.231000000,12,0.211000000,0.148000000,0.512000000
20:37:18,130719,50.568275580,-123.527127865,921.227000000,12,0.211000000,0.148000000,0.512000000
20:37:19,130719,50.568275558,-123.527127803,921.248000000,12,0.211000000,0.148000000,0.512000000
20:37:20,130719,50.568275582,-123.527127842,921.233000000,12,0.211000000,0.148000000,0.512000000
20:37:21,130719,50.568275565,-123.527127848,921.233000000,12,0.211000000,0.148000000,0.512000000
20:37:22,130719,50.568275520,-123.527127768,921.246000000,12,0.211000000,0.148000000,0.512000000
20:37:23,130719,50.568275507,-123.527127753,921.227000000,12,0.211000000,0.148000000,0.512000000
20:37:24,130719,50.568275458,-123.527127702,921.234000000,12,0.211000000,0.148000000,0.512000000
20:37:25,130719,50.568275422,-123.527127730,921.225000000,12,0.211000000,0.148000000,0.513000000
20:37:26,130719,50.568275310,-123.527127642,921.241000000,12,0.211000000,0.148000000,0.513000000
20:37:27,130719,50.568275237,-123.527127635,921.249000000,12,0.211000000,0.148000000,0.513000000
20:37:28,130719,50.568275202,-123.527127680,921.232000000,12,0.211000000,0.148000000,0.513000000
20:37:29,130719,50.568275165,-123.527127623,921.224000000,12,0.211000000,0.148000000,0.513000000
20:37:30,130719,50.568275152,-123.527127568,921.229000000,12,0.211000000,0.148000000,0.513000000
20:37:31,130719,50.568275182,-123.527127587,921.206000000,12,0.211000000,0.148000000,0.513000000
20:37:32,130719,50.568275170,-123.527127588,921.200000000,12,0.211000000,0.148000000,0.513000000
20:37:33,130719,50.568275093,-123.527127565,921.223000000,12,0.211000000,0.148000000,0.513000000
20:37:34,130719,50.568275080,-123.527127547,921.234000000,12,0.211000000,0.148000000,0.513000000
20:37:35,130719,50.568275125,-123.527127550,921.251000000,12,0.211000000,0.148000000,0.513000000
20:37:36,130719,50.568275185,-123.527127505,921.271000000,12,0.211000000,0.148000000,0.513000000
20:37:37,130719,50.568275232,-123.527127377,921.298000000,12,0.211000000,0.148000000,0.513000000
20:37:38,130719,50.568275208,-123.527127268,921.322000000,12,0.211000000,0.148000000,0.513000000
20:37:39,130719,50.568275165,-123.527127203,921.340000000,12,0.211000000,0.148000000,0.513000000
20:37:40,130719,50.568275168,-123.527127182,921.352000000,12,0.211000000,0.148000000,0.513000000
20:37:41,130719,50.568275165,-123.527127082,921.397000000,12,0.211000000,0.148000000,0.513000000
20:37:42,130719,50.568275223,-123.527127062,921.401000000,12,0.211000000,0.148000000,0.513000000
20:37:43,130719,50.568275275,-123.527127028,921.402000000,12,0.211000000,0.147000000,0.513000000
20:37:44,130719,50.568275323,-123.527126980,921.410000000,12,0.211000000,0.147000000,0.513000000
20:37:45,130719,50.568275332,-123.527126960,921.422000000,12,0.211000000,0.147000000,0.513000000
20:37:46,130719,50.568275307,-123.527126888,921.445000000,12,0.211000000,0.147000000,0.513000000
20:37:47,130719,50.568275260,-123.527126877,921.455000000,12,0.211000000,0.147000000,0.513000000
20:37:48,130719,50.568275178,-123.527126842,921.476000000,12,0.211000000,0.147000000,0.513000000
20:37:49,130719,50.568275107,-123.527126750,921.498000000,12,0.211000000,0.147000000,0.513000000
20:37:50,130719,50.568275173,-123.527126598,921.535000000,12,0.211000000,0.147000000,0.513000000
20:37:51,130719,50.568275245,-123.527126448,921.576000000,12,0.211000000,0.147000000,0.513000000
20:37:52,130719,50.568275230,-123.527126238,921.635000000,12,0.211000000,0.147000000,0.513000000
20:37:53,130719,50.568275247,-123.527126088,921.666000000,12,0.211000000,0.147000000,0.513000000
20:37:54,130719,50.568275263,-123.527125960,921.693000000,12,0.211000000,0.147000000,0.513000000
20:37:55,130719,50.568275265,-123.527125808,921.733000000,12,0.211000000,0.147000000,0.513000000
20:37:56,130719,50.568275283,-123.527125652,921.754000000,12,0.211000000,0.147000000,0.513000000
20:37:57,130719,50.568275270,-123.527125485,921.803000000,12,0.211000000,0.147000000,0.513000000
20:37:58,130719,50.568275273,-123.527125368,921.833000000,12,0.211000000,0.147000000,0.513000000
20:37:59,130719,50.568275287,-123.527125307,921.864000000,12,0.211000000,0.147000000,0.513000000
20:38:00,130719,50.568275297,-123.527125223,921.900000000,12,0.211000000,0.147000000,0.513000000
