TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
15:12:22,200719,50.733879318,-123.577779475,1962.658000000,25,0.113000000,0.107000000,0.232000000
15:12:23,200719,50.733879373,-123.577779505,1962.664000000,25,0.113000000,0.107000000,0.232000000
15:12:24,200719,50.733879372,-123.577779527,1962.664000000,25,0.113000000,0.107000000,0.232000000
15:12:25,200719,50.733879268,-123.577779465,1962.619000000,25,0.113000000,0.107000000,0.232000000
15:12:26,200719,50.733879193,-123.577779417,1962.578000000,25,0.113000000,0.107000000,0.232000000
15:12:27,200719,50.733879145,-123.577779367,1962.541000000,25,0.113000000,0.107000000,0.232000000
15:12:28,200719,50.733879085,-123.577779332,1962.510000000,25,0.113000000,0.107000000,0.232000000
15:12:29,200719,50.733879045,-123.577779293,1962.491000000,25,0.113000000,0.107000000,0.232000000
15:12:30,200719,50.733879022,-123.577779268,1962.468000000,25,0.113000000,0.107000000,0.232000000
15:12:31,200719,50.733878992,-123.577779245,1962.449000000,25,0.113000000,0.107000000,0.232000000
15:12:32,200719,50.733878993,-123.577779207,1962.431000000,25,0.113000000,0.107000000,0.232000000
15:12:33,200719,50.733878748,-123.577779153,1962.427000000,24,0.113000000,0.107000000,0.232000000
15:12:38,200719,50.733882733,-123.577774417,1962.582000000,23,1.099000000,1.139000000,2.273000000
15:12:39,200719,50.733883037,-123.577775120,1962.765000000,22,1.055000000,0.973000000,2.136000000
15:12:44,200719,50.733879880,-123.577775722,1962.494000000,24,1.171000000,1.018000000,2.264000000
15:12:45,200719,50.733879530,-123.577777043,1962.529000000,25,1.023000000,0.963000000,2.091000000
15:12:46,200719,50.733879525,-123.577777660,1962.515000000,25,1.023000000,0.963000000,2.091000000
15:12:47,200719,50.733879558,-123.577777920,1962.520000000,25,1.023000000,0.963000000,2.091000000
15:12:48,200719,50.733879527,-123.577778148,1962.523000000,25,0.708000000,0.667000000,1.448000000
15:12:49,200719,50.733879465,-123.577778348,1962.523000000,25,0.708000000,0.667000000,1.448000000
15:12:50,200719,50.733879553,-123.577778418,1962.516000000,25,0.708000000,0.667000000,1.448000000
15:12:51,200719,50.733879567,-123.577778608,1962.526000000,25,0.490000000,0.461000000,1.002000000
15:12:52,200719,50.733879575,-123.577778783,1962.534000000,25,0.490000000,0.461000000,1.002000000
15:12:53,200719,50.733879560,-123.577778943,1962.541000000,25,0.490000000,0.461000000,1.002000000
15:12:54,200719,50.733879522,-123.577779107,1962.548000000,25,0.344000000,0.324000000,0.703000000
15:12:55,200719,50.733879493,-123.577779267,1962.556000000,25,0.344000000,0.324000000,0.703000000
15:12:56,200719,50.733879487,-123.577779375,1962.565000000,25,0.344000000,0.324000000,0.703000000
15:12:57,200719,50.733879465,-123.577779465,1962.571000000,25,0.245000000,0.231000000,0.501000000
15:12:58,200719,50.733879433,-123.577779553,1962.579000000,25,0.245000000,0.231000000,0.501000000
15:12:59,200719,50.733879418,-123.577779632,1962.583000000,25,0.245000000,0.231000000,0.501000000
15:13:00,200719,50.733879388,-123.577779702,1962.588000000,25,0.181000000,0.170000000,0.369000000
15:13:01,200719,50.733879347,-123.577779767,1962.593000000,25,0.181000000,0.170000000,0.369000000
15:13:02,200719,50.733879292,-123.577779835,1962.597000000,25,0.181000000,0.170000000,0.369000000
15:13:03,200719,50.733879237,-123.577779865,1962.603000000,25,0.141000000,0.132000000,0.287000000
15:13:04,200719,50.733879158,-123.577779890,1962.610000000,25,0.141000000,0.132000000,0.287000000
15:13:05,200719,50.733879072,-123.577779908,1962.616000000,25,0.141000000,0.132000000,0.287000000
15:13:06,200719,50.733879015,-123.577779885,1962.619000000,25,0.118000000,0.111000000,0.241000000
15:13:07,200719,50.733878963,-123.577779863,1962.624000000,25,0.118000000,0.111000000,0.241000000
15:13:08,200719,50.733878908,-123.577779845,1962.628000000,25,0.118000000,0.111000000,0.241000000
15:13:09,200719,50.733878860,-123.577779828,1962.628000000,25,0.113000000,0.107000000,0.231000000
15:13:10,200719,50.733878807,-123.577779843,1962.630000000,25,0.113000000,0.107000000,0.231000000
15:13:11,200719,50.733878742,-123.577779853,1962.631000000,25,0.113000000,0.107000000,0.231000000
15:13:12,200719,50.733878682,-123.577779843,1962.633000000,25,0.113000000,0.107000000,0.231000000
15:13:13,200719,50.733878645,-123.577779828,1962.633000000,25,0.113000000,0.107000000,0.231000000
15:13:14,200719,50.733878613,-123.577779830,1962.633000000,25,0.113000000,0.107000000,0.231000000
15:13:15,200719,50.733878570,-123.577779828,1962.634000000,25,0.113000000,0.107000000,0.231000000
15:13:16,200719,50.733878513,-123.577779828,1962.636000000,25,0.113000000,0.107000000,0.231000000
15:13:17,200719,50.733878458,-123.577779837,1962.639000000,25,0.113000000,0.107000000,0.231000000
15:13:18,200719,50.733878412,-123.577779843,1962.639000000,25,0.113000000,0.107000000,0.231000000
15:13:19,200719,50.733878375,-123.577779852,1962.639000000,25,0.113000000,0.107000000,0.231000000
15:13:20,200719,50.733878313,-123.577779865,1962.638000000,25,0.113000000,0.107000000,0.231000000
15:13:21,200719,50.733878258,-123.577779842,1962.637000000,25,0.113000000,0.107000000,0.231000000
15:13:22,200719,50.733878202,-123.577779843,1962.634000000,25,0.113000000,0.107000000,0.231000000
15:13:23,200719,50.733878138,-123.577779858,1962.633000000,25,0.113000000,0.107000000,0.231000000
15:13:24,200719,50.733878085,-123.577779868,1962.631000000,25,0.113000000,0.107000000,0.231000000
15:13:25,200719,50.733878022,-123.577779870,1962.629000000,25,0.113000000,0.107000000,0.231000000
15:13:26,200719,50.733877992,-123.577779863,1962.628000000,25,0.113000000,0.107000000,0.231000000
15:13:27,200719,50.733877928,-123.577779878,1962.626000000,25,0.113000000,0.107000000,0.231000000
15:13:28,200719,50.733877895,-123.577779885,1962.625000000,25,0.113000000,0.107000000,0.231000000
15:13:29,200719,50.733877845,-123.577779892,1962.625000000,25,0.113000000,0.107000000,0.231000000
15:13:30,200719,50.733877775,-123.577779912,1962.630000000,25,0.113000000,0.107000000,0.231000000
15:13:31,200719,50.733877725,-123.577779903,1962.629000000,25,0.113000000,0.107000000,0.231000000
15:13:32,200719,50.733877687,-123.577779895,1962.626000000,25,0.113000000,0.107000000,0.231000000
15:13:33,200719,50.733877658,-123.577779902,1962.627000000,25,0.113000000,0.107000000,0.231000000
15:13:34,200719,50.733877610,-123.577779903,1962.626000000,25,0.113000000,0.107000000,0.231000000
15:13:35,200719,50.733877578,-123.577779910,1962.625000000,25,0.113000000,0.107000000,0.231000000
15:13:36,200719,50.733877527,-123.577779900,1962.622000000,25,0.113000000,0.107000000,0.231000000
15:13:37,200719,50.733877547,-123.577779927,1962.635000000,25,0.113000000,0.107000000,0.231000000
15:13:38,200719,50.733877608,-123.577779935,1962.655000000,25,0.113000000,0.107000000,0.231000000
15:13:39,200719,50.733877665,-123.577779917,1962.668000000,25,0.113000000,0.107000000,0.231000000
15:13:40,200719,50.733877710,-123.577779923,1962.685000000,25,0.113000000,0.107000000,0.231000000
15:13:41,200719,50.733877750,-123.577779925,1962.695000000,25,0.113000000,0.107000000,0.231000000
15:13:42,200719,50.733877817,-123.577779923,1962.708000000,24,0.119000000,0.110000000,0.248000000
15:13:43,200719,50.733877893,-123.577779960,1962.728000000,24,0.119000000,0.110000000,0.248000000
15:13:44,200719,50.733877975,-123.577779967,1962.749000000,24,0.119000000,0.110000000,0.248000000
15:13:45,200719,50.733878058,-123.577779952,1962.768000000,24,0.119000000,0.110000000,0.248000000
15:13:46,200719,50.733878117,-123.577779943,1962.788000000,24,0.119000000,0.110000000,0.248000000
15:13:47,200719,50.733878182,-123.577779945,1962.809000000,24,0.119000000,0.110000000,0.248000000
15:13:48,200719,50.733878258,-123.577779940,1962.824000000,24,0.119000000,0.110000000,0.248000000
15:13:49,200719,50.733878332,-123.577779928,1962.841000000,24,0.119000000,0.110000000,0.248000000
15:13:50,200719,50.733878390,-123.577779940,1962.858000000,24,0.119000000,0.110000000,0.248000000
