TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
20:14:04,210719,50.559300647,-123.489065452,643.017000000,15,1.723000000,0.852000000,2.822000000
20:14:05,210719,50.559300637,-123.489065438,643.016000000,15,1.724000000,0.852000000,2.822000000
20:14:06,210719,50.559300655,-123.489065448,643.019000000,15,1.724000000,0.852000000,2.822000000
20:14:07,210719,50.559300662,-123.489065443,643.020000000,15,1.724000000,0.852000000,2.822000000
20:14:08,210719,50.559300695,-123.489065488,643.029000000,15,1.724000000,0.851000000,2.823000000
20:14:09,210719,50.559300718,-123.489065577,643.041000000,15,1.724000000,0.851000000,2.823000000
20:14:10,210719,50.559300773,-123.489065683,643.061000000,15,1.724000000,0.851000000,2.823000000
20:14:11,210719,50.559300862,-123.489065797,643.087000000,15,1.724000000,0.851000000,2.824000000
20:14:12,210719,50.559300958,-123.489065893,643.117000000,15,1.724000000,0.851000000,2.824000000
20:14:13,210719,50.559301075,-123.489065983,643.147000000,15,1.724000000,0.851000000,2.824000000
20:14:14,210719,50.559301172,-123.489066095,643.173000000,15,1.724000000,0.851000000,2.824000000
20:14:15,210719,50.559301240,-123.489066183,643.197000000,15,1.724000000,0.851000000,2.824000000
20:14:16,210719,50.559301290,-123.489066267,643.223000000,15,1.724000000,0.851000000,2.824000000
20:14:17,210719,50.559301338,-123.489066340,643.247000000,15,1.724000000,0.851000000,2.825000000
20:14:18,210719,50.559301395,-123.489066402,643.270000000,15,1.724000000,0.851000000,2.825000000
20:14:19,210719,50.559301457,-123.489066438,643.296000000,15,1.724000000,0.851000000,2.825000000
20:14:20,210719,50.559301515,-123.489066493,643.312000000,15,1.724000000,0.851000000,2.826000000
20:14:21,210719,50.559301533,-123.489066505,643.325000000,15,1.724000000,0.851000000,2.826000000
20:14:22,210719,50.559301527,-123.489066502,643.324000000,15,1.724000000,0.851000000,2.826000000
20:14:23,210719,50.559301485,-123.489066463,643.317000000,15,1.724000000,0.851000000,2.826000000
20:14:24,210719,50.559301450,-123.489066402,643.304000000,15,1.724000000,0.851000000,2.826000000
20:14:25,210719,50.559301388,-123.489066325,643.292000000,15,1.724000000,0.851000000,2.826000000
20:14:26,210719,50.559301322,-123.489066253,643.274000000,15,1.725000000,0.851000000,2.827000000
20:14:27,210719,50.559301230,-123.489066175,643.255000000,15,1.725000000,0.851000000,2.827000000
20:14:28,210719,50.559301140,-123.489066107,643.235000000,15,1.725000000,0.851000000,2.827000000
20:14:29,210719,50.559301068,-123.489066017,643.221000000,15,1.725000000,0.851000000,2.828000000
20:14:30,210719,50.559301008,-123.489065947,643.205000000,15,1.725000000,0.851000000,2.828000000
20:14:31,210719,50.559300973,-123.489065862,643.197000000,15,1.725000000,0.851000000,2.828000000
20:14:32,210719,50.559300955,-123.489065792,643.191000000,15,1.725000000,0.851000000,2.828000000
20:14:33,210719,50.559300970,-123.489065750,643.189000000,15,1.725000000,0.851000000,2.828000000
20:14:34,210719,50.559300965,-123.489065737,643.188000000,15,1.725000000,0.851000000,2.828000000
20:14:35,210719,50.559300975,-123.489065732,643.194000000,15,1.725000000,0.851000000,2.829000000
20:14:36,210719,50.559300967,-123.489065733,643.197000000,15,1.725000000,0.851000000,2.829000000
20:14:37,210719,50.559300995,-123.489065747,643.202000000,15,1.725000000,0.851000000,2.829000000
20:14:38,210719,50.559301035,-123.489065777,643.212000000,15,1.725000000,0.850000000,2.829000000
20:14:39,210719,50.559301080,-123.489065807,643.224000000,15,1.725000000,0.850000000,2.829000000
20:14:40,210719,50.559301080,-123.489065850,643.227000000,15,1.725000000,0.850000000,2.829000000
20:14:41,210719,50.559301078,-123.489065888,643.234000000,15,1.725000000,0.850000000,2.830000000
20:14:42,210719,50.559301075,-123.489065915,643.235000000,15,1.725000000,0.850000000,2.830000000
20:14:43,210719,50.559301102,-123.489065938,643.241000000,15,1.725000000,0.850000000,2.830000000
20:14:44,210719,50.559301102,-123.489065963,643.243000000,15,1.725000000,0.850000000,2.831000000
20:14:45,210719,50.559301115,-123.489065978,643.248000000,15,1.725000000,0.850000000,2.831000000
20:14:46,210719,50.559301135,-123.489065998,643.249000000,15,1.725000000,0.850000000,2.831000000
20:14:47,210719,50.559301138,-123.489066000,643.254000000,15,1.725000000,0.850000000,2.831000000
20:14:48,210719,50.559301140,-123.489066012,643.257000000,15,1.725000000,0.850000000,2.831000000
20:14:49,210719,50.559301140,-123.489066025,643.262000000,15,1.725000000,0.850000000,2.831000000
20:14:50,210719,50.559301145,-123.489066057,643.266000000,15,1.726000000,0.850000000,2.832000000
20:14:51,210719,50.559301170,-123.489066080,643.271000000,15,1.726000000,0.850000000,2.832000000
20:14:52,210719,50.559301210,-123.489066075,643.275000000,15,1.726000000,0.850000000,2.832000000
20:14:53,210719,50.559301255,-123.489066058,643.282000000,15,1.726000000,0.850000000,2.833000000
20:14:54,210719,50.559301285,-123.489066077,643.283000000,15,1.726000000,0.850000000,2.833000000
20:14:55,210719,50.559301340,-123.489066092,643.292000000,15,1.726000000,0.850000000,2.833000000
20:14:56,210719,50.559301360,-123.489066123,643.294000000,15,1.726000000,0.850000000,2.833000000
20:14:57,210719,50.559301378,-123.489066135,643.297000000,15,1.726000000,0.850000000,2.833000000
20:14:58,210719,50.559301397,-123.489066148,643.295000000,15,1.726000000,0.850000000,2.833000000
20:14:59,210719,50.559301413,-123.489066147,643.295000000,15,1.726000000,0.850000000,2.834000000
