TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
16:19:47,160719,50.571168928,-123.519044050,1013.415000000,12,0.238000000,0.175000000,0.426000000
16:19:48,160719,50.571168863,-123.519044108,1013.421000000,12,0.238000000,0.175000000,0.426000000
16:19:49,160719,50.571168802,-123.519044162,1013.428000000,12,0.238000000,0.175000000,0.426000000
16:19:50,160719,50.571168753,-123.519044155,1013.428000000,12,0.238000000,0.175000000,0.426000000
16:19:51,160719,50.571168692,-123.519044207,1013.441000000,12,0.238000000,0.175000000,0.426000000
16:19:52,160719,50.571168637,-123.519044240,1013.450000000,12,0.238000000,0.175000000,0.426000000
16:19:53,160719,50.571168563,-123.519044268,1013.457000000,12,0.238000000,0.175000000,0.426000000
16:19:54,160719,50.571168525,-123.519044312,1013.459000000,12,0.238000000,0.175000000,0.426000000
16:19:55,160719,50.571168503,-123.519044358,1013.462000000,12,0.238000000,0.175000000,0.426000000
16:19:56,160719,50.571168482,-123.519044397,1013.470000000,12,0.238000000,0.175000000,0.426000000
16:19:57,160719,50.571168475,-123.519044435,1013.475000000,12,0.238000000,0.175000000,0.426000000
16:19:58,160719,50.571168422,-123.519044510,1013.485000000,12,0.238000000,0.175000000,0.426000000
16:19:59,160719,50.571168397,-123.519044557,1013.495000000,12,0.238000000,0.175000000,0.426000000
16:20:00,160719,50.571168337,-123.519044618,1013.507000000,12,0.238000000,0.175000000,0.426000000
16:20:01,160719,50.571168312,-123.519044695,1013.518000000,12,0.238000000,0.175000000,0.426000000
16:20:02,160719,50.571168283,-123.519044757,1013.527000000,12,0.238000000,0.175000000,0.426000000
16:20:03,160719,50.571168257,-123.519044825,1013.544000000,12,0.238000000,0.175000000,0.426000000
16:20:04,160719,50.571168235,-123.519044865,1013.556000000,12,0.238000000,0.175000000,0.426000000
16:20:05,160719,50.571168212,-123.519044882,1013.561000000,12,0.238000000,0.175000000,0.426000000
16:20:06,160719,50.571168217,-123.519044872,1013.561000000,11,0.270000000,0.228000000,0.498000000
16:20:07,160719,50.571168220,-123.519044873,1013.568000000,11,0.270000000,0.228000000,0.498000000
16:20:08,160719,50.571168215,-123.519044875,1013.577000000,11,0.270000000,0.228000000,0.498000000
16:20:09,160719,50.571168185,-123.519044878,1013.588000000,11,0.347000000,0.293000000,0.641000000
16:20:10,160719,50.571168158,-123.519044882,1013.593000000,11,0.347000000,0.293000000,0.641000000
16:20:11,160719,50.571168112,-123.519044910,1013.603000000,11,0.347000000,0.293000000,0.641000000
16:20:12,160719,50.571168053,-123.519044962,1013.612000000,11,0.385000000,0.325000000,0.712000000
16:20:13,160719,50.571168033,-123.519044982,1013.621000000,11,0.385000000,0.325000000,0.712000000
16:20:14,160719,50.571168005,-123.519045008,1013.632000000,11,0.385000000,0.325000000,0.712000000
16:20:15,160719,50.571167962,-123.519045027,1013.642000000,11,0.407000000,0.343000000,0.751000000
16:20:16,160719,50.571167963,-123.519045018,1013.650000000,11,0.407000000,0.343000000,0.751000000
16:20:17,160719,50.571167995,-123.519045012,1013.649000000,11,0.407000000,0.343000000,0.751000000
