TIME,DATE(ddMMyy),LATITUDEGGA,LONGITUDEGGA,ALTITUDEGGA,NUMBERSAT,LATERR,LONGERR,ALTERR
20:16:16,160719,50.572232813,-123.511492213,932.016000000,14,0.219000000,0.152000000,0.564000000
20:16:17,160719,50.572232850,-123.511492248,932.010000000,14,0.219000000,0.152000000,0.564000000
20:16:18,160719,50.572232838,-123.511492268,932.012000000,14,0.219000000,0.152000000,0.564000000
20:16:19,160719,50.572232813,-123.511492295,932.008000000,14,0.219000000,0.152000000,0.564000000
20:16:20,160719,50.572232900,-123.511492488,931.965000000,14,0.219000000,0.152000000,0.564000000
20:16:21,160719,50.572232752,-123.511492575,931.981000000,14,0.219000000,0.152000000,0.564000000
20:16:22,160719,50.572232760,-123.511492582,931.974000000,14,0.219000000,0.152000000,0.564000000
20:16:23,160719,50.572232725,-123.511492647,931.955000000,14,0.219000000,0.152000000,0.564000000
20:16:24,160719,50.572232790,-123.511492683,931.923000000,14,0.219000000,0.152000000,0.565000000
20:16:25,160719,50.572232758,-123.511492770,931.910000000,14,0.219000000,0.152000000,0.565000000
20:16:26,160719,50.572232722,-123.511492825,931.897000000,14,0.219000000,0.152000000,0.565000000
20:16:27,160719,50.572232670,-123.511492882,931.889000000,14,0.219000000,0.152000000,0.565000000
20:16:28,160719,50.572232683,-123.511492898,931.863000000,14,0.219000000,0.152000000,0.565000000
20:16:29,160719,50.572232655,-123.511492970,931.853000000,14,0.219000000,0.152000000,0.565000000
20:16:30,160719,50.572232650,-123.511492972,931.846000000,14,0.219000000,0.152000000,0.565000000
20:16:31,160719,50.572232648,-123.511492975,931.823000000,14,0.219000000,0.152000000,0.565000000
20:16:32,160719,50.572232647,-123.511492993,931.815000000,14,0.219000000,0.152000000,0.565000000
20:16:33,160719,50.572232660,-123.511493028,931.800000000,14,0.219000000,0.152000000,0.565000000
20:16:34,160719,50.572232670,-123.511493047,931.793000000,14,0.219000000,0.152000000,0.565000000
20:16:35,160719,50.572232673,-123.511493058,931.787000000,14,0.219000000,0.152000000,0.565000000
20:16:36,160719,50.572232728,-123.511492995,931.790000000,14,0.219000000,0.152000000,0.565000000
20:16:37,160719,50.572232792,-123.511492953,931.776000000,14,0.219000000,0.152000000,0.565000000
20:16:38,160719,50.572232833,-123.511492938,931.774000000,14,0.219000000,0.152000000,0.565000000
20:16:39,160719,50.572232888,-123.511492915,931.766000000,14,0.219000000,0.152000000,0.566000000
20:16:40,160719,50.572232928,-123.511492905,931.760000000,14,0.219000000,0.152000000,0.566000000
20:16:41,160719,50.572232980,-123.511492900,931.753000000,14,0.219000000,0.152000000,0.566000000
20:16:42,160719,50.572233002,-123.511492898,931.755000000,14,0.219000000,0.152000000,0.566000000
20:16:43,160719,50.572233028,-123.511492872,931.754000000,14,0.219000000,0.152000000,0.566000000
20:16:44,160719,50.572233068,-123.511492828,931.752000000,14,0.219000000,0.152000000,0.566000000
20:16:45,160719,50.572233067,-123.511492797,931.742000000,14,0.219000000,0.152000000,0.566000000
20:16:46,160719,50.572233070,-123.511492792,931.740000000,14,0.219000000,0.152000000,0.566000000
20:16:47,160719,50.572233078,-123.511492803,931.734000000,14,0.219000000,0.152000000,0.566000000
20:16:48,160719,50.572233075,-123.511492828,931.730000000,14,0.219000000,0.152000000,0.566000000
20:16:49,160719,50.572233102,-123.511492850,931.718000000,14,0.219000000,0.152000000,0.566000000
20:16:50,160719,50.572233115,-123.511492872,931.708000000,14,0.219000000,0.152000000,0.566000000
20:16:51,160719,50.572233125,-123.511492887,931.692000000,14,0.219000000,0.152000000,0.566000000
20:16:52,160719,50.572233123,-123.511492908,931.675000000,14,0.219000000,0.152000000,0.566000000
20:16:53,160719,50.572233133,-123.511492932,931.672000000,14,0.219000000,0.152000000,0.566000000
20:16:54,160719,50.572233128,-123.511492933,931.673000000,14,0.219000000,0.152000000,0.567000000
20:16:55,160719,50.572233113,-123.511492910,931.690000000,14,0.219000000,0.152000000,0.567000000
20:16:56,160719,50.572233108,-123.511492897,931.694000000,14,0.219000000,0.152000000,0.567000000
20:16:57,160719,50.572233110,-123.511492868,931.688000000,14,0.219000000,0.153000000,0.567000000
20:16:58,160719,50.572233118,-123.511492847,931.684000000,14,0.219000000,0.153000000,0.567000000
20:16:59,160719,50.572233138,-123.511492858,931.682000000,14,0.219000000,0.153000000,0.567000000
